NTA,GardenCounts,HasGarden,Gender_Female,Age_Over65,Unemployed,Race_Hisp,Race_White,Race_Black,Race_Asian,Race_Other,Income_under10,Income_10to14,Income_15to24,Income_25to34,Income_35to49,Income_50to74,Income_75to99,Income_100to149,Income_150to199,Income_200over,Edu_Other,Edu_Bachelor,Edu_GradProf,Crime_Felony_scaled,Crime_Misdemeanor_scaled,Crime_Violation_scaled,Crime_Total_scaled
Queensboro Hill,1.0,1.0,0.5029356943150046,0.14575955265610438,0.07391048292108363,0.168452935694315,0.1390959925442684,0.014259086672879775,0.6616029822926375,0.01658900279589935,0.06546536617622747,0.033559265994379237,0.10365349644569352,0.11224995867085467,0.11853198875847247,0.2208629525541412,0.11952388824599107,0.13787402876508514,0.05124814018846089,0.037030914200694334,0.7643833849329206,0.14499484004127966,0.0906217750257998,-0.20967371448109967,-0.24533898003024254,-0.324995728278518,-0.24138743533671544
Queensbridge-Ravenswood-Long Island City,0.0,0.0,0.5200507211919481,0.10688434511544356,0.14636132315521627,0.3890738099011993,0.16806678290273155,0.2045226396153643,0.19585776932424576,0.04247899825645903,0.17335041639974375,0.12709801409352978,0.1557975656630365,0.10352338244714926,0.11710442024343368,0.11877001921844972,0.08532991672005125,0.06534272901985906,0.02754644458680333,0.026137091607943627,0.7505290205562273,0.17623941958887546,0.07323155985489722,0.05231606790192822,0.01935179431686423,0.37038338588358427,0.0586056276780959
Rego Park,1.0,1.0,0.5314167793353732,0.19131146374439625,0.056876800428753274,0.17419768021063115,0.4447804739201594,0.033765032377428304,0.32050096064897177,0.026755852842809364,0.09893964110929854,0.03898858075040783,0.10595432300163132,0.07985318107667211,0.12748776508972268,0.1504078303425775,0.12854812398042414,0.15154975530179446,0.07446982055464926,0.04380097879282219,0.5099886234357224,0.30084186575654154,0.18916951080773609,-0.1914448686509743,-0.09444247084542794,-0.2736943169812228,-0.13969463448946506
Richmond Hill,0.0,0.0,0.4978835591358477,0.09514463566459172,0.08581426031090461,0.3660930062248261,0.09978762358110582,0.07811058220432078,0.3111094837056023,0.144899304284145,0.06301150346248498,0.03754363875693928,0.08939506667429749,0.0879642877582556,0.13340582613174612,0.20608939506667429,0.1400446403021805,0.14176157500143075,0.06180964917300979,0.03897441767298117,0.7826999977660121,0.15787592431249026,0.059424077921497676,-0.08854211678163919,-0.12362345458595786,-0.04439957714116166,-0.1064608887499348
Ridgewood,0.0,0.0,0.5078805986513897,0.08397291815141714,0.06383743930947673,0.4803875883997588,0.41033934543062334,0.017460665533687848,0.07962830985143357,0.012184090784496464,0.09294156541862963,0.04388792462186958,0.10257046036862552,0.08521365402099347,0.13236631126539386,0.1670799239606579,0.14554921894371434,0.15439292503512686,0.04562360525663278,0.030374411108356064,0.7595145711219351,0.16145876331214398,0.07902666556592093,-0.13293658375074807,-0.1374439892025299,-0.10701957587329247,-0.13387057696530805
Rosedale,0.0,0.0,0.5485398004515329,0.10421673585317894,0.06411609498680737,0.08433471706357876,0.03754278639574685,0.8420362682980118,0.01664117689898769,0.0194450513436749,0.033206457540359634,0.017456359102244388,0.05328783304895656,0.06076912980706129,0.09003806273789211,0.16839480246751545,0.16773854836592728,0.21223257645360286,0.13046331539572126,0.06641291508071925,0.7319144303521855,0.17152033095639868,0.09656523869141584,-0.14714732415582446,-0.21073812032530898,-0.17268812661125357,-0.1882936103301309
South Jamaica,4.0,1.0,0.5246118348315146,0.10193241359419314,0.17843311091409642,0.17759457770513867,0.003917704177282122,0.6502187184540691,0.0668413209633226,0.10142767870018748,0.09107348347854677,0.061647213545947724,0.11458162091073484,0.10060825250698667,0.15148775275357554,0.1668584579976985,0.11893802400131515,0.13792536577346706,0.03559099128719382,0.021288837744533943,0.8394834655324367,0.1103191937770625,0.050197340690500816,-0.019529409751901323,-0.12386609544157295,-0.07483957884040286,-0.08759708728399924
South Ozone Park,1.0,1.0,0.5066677594220885,0.10427228342953483,0.10871226178261914,0.22035803350856448,0.053306951095292175,0.22155225907669973,0.2596152720375596,0.24516748428188412,0.05514589459398326,0.03415516851391088,0.08853200633340873,0.08839629043202896,0.1351730377742592,0.18525220538339746,0.12865867450802987,0.16950916082334316,0.06378647364849581,0.05139108798914273,0.8219659413105116,0.13665222912209293,0.0413818295673955,-0.1227988711834344,-0.16757289979088877,-0.13316781480018955,-0.1511897261249381
Springfield Gardens North,0.0,0.0,0.5946259564129528,0.15799398049098887,0.07866401481379877,0.06737498640171156,0.010516009718243464,0.8877687928346085,0.02197483410088117,0.012365376944555246,0.06135321100917431,0.036123853211009166,0.09288990825688072,0.1183103975535168,0.1628440366972477,0.1890290519877676,0.1346521406727829,0.14745795107033638,0.041284403669724766,0.016055045871559634,0.7436072459963244,0.18251509582567604,0.07387765817799948,-0.03298461040838573,-0.015266983186973155,-0.22756643281107639,-0.038324139908522854
Springfield Gardens South-Brookville,0.0,0.0,0.5714611872146119,0.11579908675799087,0.10329631588224923,0.07123287671232878,0.019863013698630142,0.8643835616438356,0.012465753424657534,0.03205479452054795,0.031134298216088863,0.03769774486704813,0.0429148434870414,0.06832716257152474,0.11595422416694715,0.2022887916526422,0.17149108044429484,0.1921911814203972,0.09508582968697407,0.0429148434870414,0.7599914206048474,0.1507113748480732,0.08929720454707943,-0.1109970083168497,-0.17727099137652497,-0.09507455360455216,-0.1502692727014833
