GeogName,Population,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopAsian,PopOTHER,Income0_49,Income_50_99,Income_100_199,Income_200up,EduOther,GardenCounts
East Village,43022.0,2203.0,4052.0,32.4,4672.0,38350.0,29218.0,2170.0,5957.0,1005.0,8649.0,5225.0,5421.0,3057.0,8312.0,13
Gramercy,27886.0,1694.0,3111.0,33.5,2091.0,25795.0,19804.0,1098.0,4002.0,891.0,2794.0,3318.0,4297.0,3758.0,3053.0,0
Hamilton Heights,52508.0,9216.0,5447.0,34.3,24053.0,28455.0,8759.0,15524.0,1863.0,2309.0,10239.0,5644.0,2714.0,629.0,23066.0,11
Hudson Yards-Chelsea-Flat Iron-Union Square,77205.0,8028.0,8915.0,37.1,10838.0,66367.0,48751.0,4429.0,11102.0,2085.0,11696.0,7902.0,10925.0,11601.0,14189.0,0
Lenox Hill-Roosevelt Island,82051.0,11976.0,13644.0,37.7,7412.0,74639.0,59069.0,3197.0,9810.0,2563.0,10625.0,10384.0,10910.0,12005.0,12162.0,1
Lincoln Square,59691.0,8199.0,10747.0,41.5,6010.0,53681.0,42982.0,2053.0,7131.0,1515.0,7516.0,6312.0,8897.0,9930.0,8338.0,0
Lower East Side,72789.0,11226.0,13063.0,41.1,28805.0,43984.0,15996.0,8007.0,17591.0,2390.0,20286.0,5570.0,4232.0,1928.0,33591.0,26
Manhattanville,23666.0,4308.0,2610.0,33.2,13381.0,10285.0,2357.0,6435.0,944.0,549.0,5795.0,1519.0,817.0,110.0,10377.0,0
Marble Hill-Inwood,52681.0,11190.0,6189.0,35.2,38689.0,13992.0,8367.0,3956.0,866.0,803.0,10840.0,5356.0,2323.0,538.0,23474.0,2
Midtown-Midtown South,27811.0,1966.0,4193.0,35.1,2307.0,25504.0,17344.0,1148.0,6029.0,983.0,4690.0,2263.0,3832.0,4722.0,4287.0,0
