,GeoType,NTA,GeoID,Borough,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden
13,NTA2010,Clinton Hill,BK69,Brooklyn,38655.0,0.4692795239943086,0.5307204760056914,0.1863665761221058,0.09838313284180572,0.11012805587892899,0.8898719441210711,0.401190014228431,0.381891087828224,0.0003104384943733023,0.06348467209934032,0.0004397878670288449,0.004268529297632906,0.038287414306040615,15797.0,0.08596568968791543,0.048996644932582135,0.06868392732797367,0.06659492308666203,0.09096663923529784,0.15028169905678293,0.14065961891498385,0.1678166740520352,0.09020700132936633,0.08982718237640058,31989.0,0.7136515677264059,22829.0,0.07928511980375838,26710.0,0.4324223137401722,0.3281168101834519,0.2394608760763759,6.0,1.0
14,NTA2010,Crown Heights North,BK61,Brooklyn,107134.0,0.4499131928239401,0.5500868071760598,0.20577034368174435,0.10677282655366177,0.12308884201093957,0.8769111579890604,0.15730767076745011,0.65915582354808,0.002230851083689585,0.0304478503556294,0.0,0.005311105718072694,0.022457856516138668,43221.0,0.15119964831910415,0.07727724948520395,0.12343536706693506,0.10034473982554777,0.12248675412415261,0.161194789569885,0.09414405034589667,0.10712385183128571,0.03452025635686356,0.02827329307512552,87976.0,0.6394243884695826,56214.0,0.09333973743195645,73312.0,0.6839262330859887,0.19597064600611086,0.12010312090790048,19.0,1.0
15,NTA2010,Crown Heights South,BK63,Brooklyn,41962.0,0.4700443258185978,0.5299556741814022,0.24238596825699443,0.11338830370335065,0.08183594680901768,0.9181640531909823,0.28154044135169914,0.6002812068061579,0.003503169534340594,0.012725799532910729,0.0,0.007625947285639388,0.012487488680234499,14971.0,0.08182486139870417,0.07775031728007481,0.12156836550664618,0.10333311068064925,0.15556743036537304,0.18936610780842963,0.11876294168726204,0.10353349809631955,0.025515997595351014,0.022777369581190303,32922.0,0.657098596683069,21621.0,0.12589611951343602,27183.0,0.6847294264797852,0.18868410403561048,0.12658646948460434,0.0,0.0
16,NTA2010,Cypress Hills-City Line,BK83,Brooklyn,48899.0,0.48056197468250883,0.5194380253174912,0.2564265117896071,0.07587067220188552,0.6157590134767582,0.3842409865232418,0.031861592261600444,0.24556739401623756,0.0006953107425509724,0.0803288410805947,0.0,0.013190453792511094,0.01259739462974703,14159.0,0.14153541916802034,0.04604844974927608,0.11095416342962074,0.09979518327565506,0.1454905007415778,0.20425171269157427,0.10318525319584716,0.1014902182357511,0.029239353061656898,0.01800974645102055,38106.0,0.579436309242639,22080.0,0.07880434782608696,30142.0,0.8716408997412248,0.09030588547541636,0.03805321478335877,0.0,0.0
17,NTA2010,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,42245.0,0.48126405491774177,0.5187359450822583,0.17663628831814415,0.08966741626227956,0.20572848857853002,0.79427151142147,0.4484317670730264,0.19476861167002013,0.00021304296366433898,0.11087702686708487,0.0004497573677358267,0.007551189489880459,0.031980115990058,17585.0,0.08615297128234291,0.04970145009951663,0.07989764003411999,0.04839351720216093,0.06391811202729598,0.1001421666192778,0.09183963605345465,0.16286607904464032,0.1046914984361672,0.2123969292010236,35416.0,0.7125592952337927,25220.0,0.08790642347343379,31717.0,0.4010782860926317,0.3191033199861273,0.27981839392124097,5.0,1.0
18,NTA2010,Dyker Heights,BK30,Brooklyn,45877.0,0.48592976872942867,0.5140702312705713,0.21963075179283736,0.1478518647688384,0.11221309152734486,0.8877869084726552,0.4667916385116725,0.008021448656189376,0.0019181725047409377,0.4026200492621575,0.00015258190378621096,0.0015258190378621096,0.006757198596246485,14907.0,0.07151002884550882,0.053666062923458775,0.12792647749379485,0.08787817803716375,0.10867377742000403,0.18011672368685852,0.10914335547058429,0.14442879184275845,0.055879788019051455,0.06077681626081707,36996.0,0.6093631743972321,22535.0,0.08426891502107832,32157.0,0.7321889479740026,0.1684858662188637,0.09932518580713375,0.0,0.0
19,NTA2010,East Flatbush-Farragut,BK91,Brooklyn,53535.0,0.4295320818156346,0.5704679181843654,0.21727841598953956,0.154627813579901,0.06524703465022882,0.9347529653497711,0.016605958718595312,0.8838516858130195,0.00016811431773606052,0.016755393667694032,0.0,0.004258896049313533,0.01311291678341272,18556.0,0.07286053028669973,0.05469928863979306,0.09026729898685061,0.11090752317309766,0.1423259323129985,0.19476180211252425,0.14372709635697348,0.13424229359775813,0.032819573183875836,0.023388661349428755,43376.0,0.6267751752120989,27181.0,0.08171148964350097,37056.0,0.760146804835924,0.15579123488773747,0.08406196027633851,3.0,1.0
20,NTA2010,East New York,BK82,Brooklyn,94448.0,0.45229120786040994,0.54770879213959,0.2754955107572421,0.09517406403523632,0.2697992546162968,0.7302007453837032,0.01712053193291547,0.6615915636117229,0.00048704048788751484,0.028650686091817718,0.0009740809757750297,0.008819667965441301,0.012557174318143316,32744.0,0.18855362814561447,0.07286831175177132,0.12371732225751282,0.10661495235768385,0.13697165892988028,0.147599560224774,0.09583435133154165,0.08575616906914243,0.025134375763498657,0.016949670168580504,71139.0,0.5776437678348023,41057.0,0.11284312053973744,58164.0,0.8524688810948353,0.10642321711024001,0.0411079017949247,36.0,1.0
21,NTA2010,East New York (Pennsylvania Ave),BK85,Brooklyn,29447.0,0.44367847318911946,0.5563215268108805,0.29045403606479436,0.07715556762997929,0.23476075661357693,0.765239243386423,0.019017217373586442,0.7278839949740211,0.0027846639725608723,0.006723944714232349,0.00013583726695418888,0.0034638503073318163,0.005229734777736272,10079.0,0.25895426133544996,0.07332076594900287,0.11806726857823197,0.09752951681714456,0.11786883619406688,0.14386347851969442,0.0791745212818732,0.07074114495485663,0.03343585673181863,0.007044349637860899,21926.0,0.5744321809723616,12595.0,0.15664946407304486,17552.0,0.8909525979945305,0.07811075660893345,0.030936645396536008,13.0,1.0
22,NTA2010,East Williamsburg,BK90,Brooklyn,35985.0,0.4841461720161178,0.5158538279838821,0.13177712935945532,0.1263304154508823,0.2976517993608448,0.7023482006391552,0.4413505627344727,0.08684173961372794,0.005002084201750729,0.1538974572738641,0.0008058913436153953,0.005252188411838266,0.009198277059886064,15964.0,0.09070408418942622,0.0712227511901779,0.12860185417188674,0.0829366073665748,0.10473565522425457,0.13499123026810322,0.11356802806314208,0.14056627411676273,0.0640190428464044,0.06865447256326736,31807.0,0.6897852673939698,21940.0,0.07985414767547858,27475.0,0.5806733393994541,0.3036214740673339,0.11570518653321202,7.0,1.0
23,NTA2010,Erasmus,BK95,Brooklyn,29149.0,0.43881436755977904,0.5611856324402209,0.24831040515969674,0.12635081820988714,0.09753336306562832,0.9024666369343717,0.04219698788980754,0.8224638924148341,0.0005832104017290473,0.015403615904490721,0.0,0.0016810182167484305,0.02013791210676181,10053.0,0.11339898537749925,0.056102655923604895,0.10733114493186113,0.12384362876753208,0.15328757584800556,0.17238635233263702,0.12752412215259126,0.09370337212772306,0.03133393017009848,0.02108823236844723,22701.0,0.624377780714506,14174.0,0.10088895160152392,19184.0,0.7900854879065888,0.1423582151793161,0.06755629691409508,3.0,1.0
24,NTA2010,Flatbush,BK42,Brooklyn,108653.0,0.46279440052276516,0.5372055994772349,0.24231268349700422,0.10770066173966665,0.18949315711485187,0.8105068428851482,0.22419077245911295,0.4515936053307318,0.0005614203013262404,0.10242699235179885,0.00010123972646866631,0.008964317598225543,0.0226684951174841,38418.0,0.09516372533708158,0.053126138789109274,0.11525847259097298,0.11736685928471029,0.12772658649591337,0.19110833463480661,0.11734082981935551,0.10549742308292988,0.04044978916133063,0.03696184080378989,84948.0,0.6488439986815464,55109.0,0.08504962891723675,71629.0,0.6652473160312165,0.20426084407153527,0.13049183989724833,2.0,1.0
25,NTA2010,Flatlands,BK58,Brooklyn,72540.0,0.46108354011579816,0.5389164598842018,0.2287289771160739,0.13331954783567687,0.085456299972429,0.914543700027571,0.15795423214778054,0.6980011028398125,0.0005652054039150813,0.04146677695064792,0.00015164047422111938,0.003970223325062035,0.01243451888613179,23073.0,0.055996186018289776,0.03770641008971525,0.07016859532787241,0.07385255493433884,0.12603475924240454,0.17596324708533784,0.15433623716031725,0.1762232912928531,0.0741992805443592,0.05551943830451177,58241.0,0.644545938428255,37530.0,0.09904076738609113,48562.0,0.6900457147563939,0.19336106420658128,0.11659322103702484,1.0,1.0
