,Address,Latitude,Longitude,NTA
302,111-26 Northern Boulevard.,40.757942,-73.858287,North Corona
303,1397 Bedford Avenue,40.675251,-73.953404,Crown Heights North
304,2539 Pitkin Avenue,40.674461,-73.878498,East New York
305,1025 Manor Avenue,40.824911,-73.87545899999999,Soundview-Bruckner
306,155-159 W. 133rd Street,40.813563,-73.943564,Central Harlem North-Polo Grounds
307,"2770 Lafayette Avenue, Bronx, NY 10465",,,
308,108-56 Union Hall Street,40.695304,-73.791536,South Jamaica
309,130 Liberty Avenue,40.673066999999996,-73.905437,Brownsville
310,724 Courtlandt Avenue,40.820733000000004,-73.917663,Melrose South-Mott Haven North
311,927 Faile Street,40.821521999999995,-73.88929300000001,Hunts Point
312,194-196 East 3rd Street,40.722916999999995,-73.983563,East Village
313,545 West 147th Street,40.827075,-73.947928,Hamilton Heights
314,955 Columbus Avenue,40.799757,-73.962476,Morningside Heights
315,1312 Bristow Street.,40.831037,-73.89474799999999,Crotona Park East
316,455-457 W 162nd Street,40.835442,-73.93903900000001,Washington Heights South
317,354 Stuyvesant Avenue.,40.682590999999995,-73.931996,Crown Heights North
318,565 Barbey Street,40.668571,-73.886439,East New York
319,360-362 E. 151st Street,40.817871000000004,-73.918523,Melrose South-Mott Haven North
320,1123 Saint Marks Avenue,40.674258,-73.932456,Crown Heights North
321,953 Gates Avenue,40.688836,-73.92789,Stuyvesant Heights
322,590-594 Schenck Avenue.,40.666227,-73.886797,East New York
323,823 Rockaway Avenue,40.659785,-73.908199,Brownsville
324,1665 Longfellow Avenue,40.834816,-73.885082,Crotona Park East
325,599 Driggs Avenue,40.716007,-73.957527,North Side-South Side
326,511-519 W. 52nd Street,40.766411,-73.991989,Clinton
327,21-25 Olive Street,40.713243,-73.938822,East Williamsburg
328,404-16 East 12th Street,40.729801,-73.98305699999999,East Village
329,350-54 East 4th Street,40.721472,-73.978275,Lower East Side
330,369-371 Barbey Street & 326-328 Jerome St,40.673773,-73.88776800000001,East New York
331,275-277 West 122nd Street,40.807871999999996,-73.951693,Central Harlem South
332,3050 Webster Avenue,40.870002,-73.878875,Norwood
333,1301 8th Avenue,40.663251,-73.981289,Park Slope-Gowanus
334,320 West 21st Street  NY NY 10011,40.744349,-74.000253,Hudson Yards-Chelsea-Flatiron-Union Square
335,440 W. 53rd Street,40.765878,-73.988823,Clinton
336,586 W. 177th Street,40.846542,-73.93520500000001,Washington Heights South
337,3829 Avenue K,40.625662,-73.938265,Flatlands
338,58-01 136th Street,40.745526,-73.829309,Queensboro Hill
339,121 Saratoga Avenue,40.682458000000004,-73.917088,Ocean Hill
340,2060 Lafayette Avenue,40.822665,-73.85336600000001,Soundview-Castle Hill-Clason Point-Harding Park
341,93-06 63rd Drive,40.72814,-73.863582,Rego Park
342,365-67 Wyona Street,40.669564,-73.892328,East New York (Pennsylvania Ave)
343,1355 Herkimer Street,40.677415,-73.908734,Ocean Hill
344,750 Concourse Village West,40.823174,-73.923326,East Concourse-Concourse Village
345,4211 14th Avenue,40.637485999999996,-73.985955,Borough Park
346,5601-23 16th Avenue  Brooklyn NY 11204,40.627029,-73.989672,Borough Park
347,1023 New York Avenue,40.648215,-73.946374,East Flatbush-Farragut
348,20 W. 112th Street,40.798511,-73.949251,Central Harlem South
349,745 Jennings Street,40.831804,-73.89839599999999,Morrisania-Melrose
350,"325 South 3rd Street Brooklyn, NY 11211",40.709647,-73.95465,North Side-South Side
351,2599 7th Avenue.  NY NY 10039,40.824714,-73.936841,Central Harlem North-Polo Grounds
352,34 W. 118th Street,40.80247,-73.94671600000001,Central Harlem South
353,"4801 Avenue D  Brooklyn, NY 11234",40.642031,-73.931151,East Flatbush-Farragut
354,1950 Sedgwick Avenue,40.856586,-73.916198,University Heights-Morris Heights
355,2175 Washington Avenue,40.853423,-73.894463,Claremont-Bathgate
356,"525 Lenox Road, Brooklyn NY 11203",40.654703999999995,-73.941089,East Flatbush-Farragut
357,"134 West 122nd Street, NY, NY 10027",40.8063,-73.948013,Central Harlem South
358,1580 Dean Street,40.676094,-73.935688,Crown Heights North
359,2641 Grand Concourse,40.865593,-73.894758,Bedford Park-Fordham North
360,7000 21st Avenue,40.612272999999995,-73.986713,Bensonhurst West
361,18 Marlborough Road,40.64971,-73.96604599999999,Flatbush
362,108 Montrose Avenue,40.707104,-73.945475,East Williamsburg
363,133 E. 53rd Street,40.657131,-73.92801800000001,Rugby-Remsen Village
364,27 Huntington Street Brooklyn. NY 11231,40.677564000000004,-74.005166,Carroll Gardens-Columbia Street-Red Hook
365,2310 Glenwood  Rd.,40.633232,-73.954655,Flatbush
366,219 First Street,40.675628,-73.98563399999999,Park Slope-Gowanus
367,"1930 Andrews Avenue, Bronx NY 10453",40.854701,-73.913197,University Heights-Morris Heights
368,2707 Albemarle Road,40.648044,-73.951891,Erasmus
369,500 West 160th Street,40.834899,-73.941085,Washington Heights South
370,530 Stanley Avenue,40.657212,-73.888852,East New York
371,155-02 108th Avenue,40.694119,-73.797003,South Jamaica
372,79-15 Penelope Avenue,40.719071,-73.875437,Middle Village
373,676-696 Glenmore Avenue,40.674778,-73.885228,East New York
374,520 West 45th Street  NY  NY 10036,40.762060999999996,-73.995307,Clinton
375,522 Bradford Street,40.666063,-73.89050300000001,East New York (Pennsylvania Ave)
376,2242-62 Bedford Avenue,40.649347,-73.955793,Erasmus
377,51 St. Edwards Street,40.695633,-73.978215,Fort Greene
378,372 Schermerhorn Street,40.686419,-73.979444,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
379,203 W. 120th Street   NY NY 10027,40.80598,-73.951098,Central Harlem South
380,62 Park Place,40.678983,-73.976497,Park Slope-Gowanus
