,GeoType,NTA,GeoID,Borough,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden,GardenNorm
23,NTA2010,Erasmus,BK95,Brooklyn,29149,0.438814368,0.561185632,0.248310405,0.126350818,0.097533363,0.902466637,0.042196988,0.822463892,0.00058321,0.015403616,0,0.001681018,0.020137912,10053,0.113398985,0.056102656,0.107331145,0.123843629,0.153287576,0.172386352,0.127524122,0.093703372,0.03133393,0.021088232,22701,0.624377781,14174,0.100888952,19184,0.790085488,0.142358215,0.067556297,3,1,0.005725191
24,NTA2010,Flatbush,BK42,Brooklyn,108653,0.462794401,0.537205599,0.242312683,0.107700662,0.189493157,0.810506843,0.224190772,0.451593605,0.00056142,0.102426992,0.00010124,0.008964318,0.022668495,38418,0.095163725,0.053126139,0.115258473,0.117366859,0.127726586,0.191108335,0.11734083,0.105497423,0.040449789,0.036961841,84948,0.648843999,55109,0.085049629,71629,0.665247316,0.204260844,0.13049184,2,1,0.003816794
25,NTA2010,Flatlands,BK58,Brooklyn,72540,0.46108354,0.53891646,0.228728977,0.133319548,0.0854563,0.9145437,0.157954232,0.698001103,0.000565205,0.041466777,0.00015164,0.003970223,0.012434519,23073,0.055996186,0.03770641,0.070168595,0.073852555,0.126034759,0.175963247,0.154336237,0.176223291,0.074199281,0.055519438,58241,0.644545938,37530,0.099040767,48562,0.690045715,0.193361064,0.116593221,1,1,0.001908397
26,NTA2010,Fort Greene,BK68,Brooklyn,30288,0.450013207,0.549986793,0.181325938,0.125627311,0.21401215,0.78598785,0.281959852,0.370509773,0.000627311,0.096969097,0,0.002740359,0.033181458,12494,0.108372019,0.059148391,0.092444373,0.082679686,0.105330559,0.127261085,0.120617897,0.11789659,0.074115575,0.112133824,25298,0.654043798,16546,0.102441678,21722,0.518966946,0.245557499,0.235475555,5,1,0.009541985
27,NTA2010,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Brooklyn,47997,0.482863512,0.517136488,0.241702606,0.161155906,0.106631664,0.893368336,0.676125591,0.126507907,0,0.074587995,0,0.00283351,0.013313332,16788,0.039552061,0.035263283,0.0640934,0.079521086,0.10007148,0.15254944,0.127829402,0.207707887,0.096914463,0.096497498,37709,0.62955793,23740,0.071356361,32918,0.622972234,0.222127711,0.154900055,0,0,0
28,NTA2010,Gravesend,BK26,Brooklyn,30288,0.459554939,0.540445061,0.213847068,0.182349445,0.142861859,0.857138141,0.503664818,0.078711041,0.003466719,0.248745378,0,0.000792393,0.021757792,11375,0.135912088,0.087296703,0.137142857,0.106461538,0.107956044,0.146461538,0.096263736,0.109538462,0.040879121,0.032087912,24649,0.562213477,13845,0.108486818,21165,0.690763052,0.187999055,0.121237893,0,0,0
29,NTA2010,Greenpoint,BK76,Brooklyn,33351,0.47941591,0.52058409,0.100776588,0.097148511,0.130131031,0.869868969,0.754610057,0.022068304,0.000869539,0.058469011,0.000269857,0.00554706,0.028035141,15869,0.07782469,0.02703384,0.088789464,0.061188481,0.0885374,0.161005734,0.148465562,0.187157351,0.074421829,0.085575651,30264,0.754559873,22836,0.05539499,27564,0.437382093,0.354665506,0.207952402,0,0,0
30,NTA2010,Homecrest,BK25,Brooklyn,44516,0.490205769,0.509794231,0.281157337,0.14246563,0.100053913,0.899946087,0.77888849,0.009592057,0.002426094,0.086598077,0.003571749,0.001842034,0.017027586,15575,0.085521669,0.061252006,0.120449438,0.092969502,0.124301766,0.160770465,0.111396469,0.137142857,0.050914928,0.055280899,33254,0.599687256,19942,0.081586601,28762,0.621931715,0.233293929,0.144774355,0,0,0
31,NTA2010,Kensington-Ocean Parkway,BK41,Brooklyn,37676,0.495222423,0.504777577,0.277046396,0.106407262,0.160738932,0.839261068,0.497823548,0.071185901,0.000822805,0.223378278,0,0.005626924,0.040423612,12171,0.086927943,0.054555912,0.122504314,0.100320434,0.108865336,0.170405061,0.134089228,0.129816778,0.054473749,0.038041246,28137,0.628496286,17684,0.064973988,23846,0.597961922,0.235007968,0.16703011,1,1,0.001908397
32,NTA2010,Madison,BK44,Brooklyn,40122,0.489880863,0.510119137,0.208489108,0.174069089,0.086511141,0.913488859,0.654179752,0.013633418,0,0.221648971,0.001620059,0.001495439,0.020911221,14846,0.083928331,0.053751852,0.099959585,0.083052674,0.118415735,0.165768557,0.11632763,0.154452378,0.058264852,0.066078405,32743,0.577222612,18900,0.058201058,28322,0.590459713,0.247969776,0.161570511,0,0,0
33,NTA2010,Midwood,BK43,Brooklyn,53377,0.482136501,0.517863499,0.271652584,0.149015494,0.07267175,0.92732825,0.747157015,0.052719336,0.001629916,0.111396294,0,0.001723589,0.0127021,18697,0.126704819,0.07354121,0.113815051,0.092474729,0.116489276,0.142001391,0.097074397,0.112103546,0.052896187,0.072899396,40368,0.583828775,23511,0.091701757,33648,0.574863291,0.245512363,0.179624346,0,0,0
