NTA,GardenCounts_MMscaled,HasGarden,Gender_Female,Age_Over65,Unemployed,Race_Hisp,Race_White,Race_Black,Race_Asian,Race_Other,Income_Low,Income_Mid,Income_High,Edu_Other,Edu_Bachelor,Edu_GradProf,Crime_Felonies_unscaled,Crime_Misdemeanor_unscaled,Crime_Violation_unscaled,Crime_Total_unscaled,Crime_Felony_scaled,Crime_Misdemeanor_scaled,Crime_Violation_scaled,Crime_Total_scaled,Crime_Felony_MMscaled,Crime_Misdemeanor_MMscaled,Crime_Violation_MMscaled,Crime_Total_MMscaled
Bushwick South,0.4444444444444444,1.0,0.5101129288161806,0.09992933615988693,0.12782640858093947,0.5490713704785142,0.14510086263216138,0.2561897524099036,0.034118635254589816,0.015519379224831006,0.581581352833638,0.26062614259597805,0.1577925045703839,0.7587384165176394,0.18251097382539425,0.05875060965696635,0.08582323373731718,0.12718157940349056,0.032425369651880594,0.2454301827926883,0.002824120728057517,-0.06542787698919726,-0.0006066768543971678,-0.03896512447517752,0.02999414040213788,0.023610441720945025,0.037645553001409364,0.02694271620235893
Canarsie,0.027777777777777776,1.0,0.560152545633551,0.11686489300304413,0.084698813151222,0.061866986544750875,0.045808955831928205,0.8474317335656976,0.028392952120135345,0.016499371937487975,0.41343236740244793,0.3187920633260104,0.2677755692715416,0.7404587918143131,0.1710042216985131,0.08853698648717384,0.05258750438512114,0.08093519073862415,0.029026672852988107,0.1625493679767334,-0.11663180697615474,-0.15064283522500482,-0.046830615710742776,-0.1318544886402976,0.018378671150438425,0.015025097290586164,0.033699697584738515,0.017844266098148424
Carroll Gardens-Columbia Street-Red Hook,0.16666666666666666,1.0,0.527753573699456,0.10686950992628877,0.08187251795098079,0.18927065916209407,0.6071167840237384,0.10908320184631326,0.053246355650801866,0.041282999317052496,0.31721053503395724,0.21478659378278397,0.4680028711832588,0.374585635359116,0.31485398579321233,0.3105603788476717,0.05447095118102819,0.10566846431010526,0.023337964816428417,0.1834773803075619,-0.10986231857701609,-0.10506857666609266,-0.12419982750369367,-0.10839924434802954,0.01903691210893343,0.019616670354598745,0.02709516039059027,0.02014169133938399
Clinton Hill,0.16666666666666666,1.0,0.5307204760056914,0.09838313284180572,0.07928511980375838,0.110128055878929,0.40119001422843104,0.381891087828224,0.06348467209934032,0.04330616996507567,0.36120782427043113,0.2909413179717668,0.3478508577578021,0.4324223137401722,0.3281168101834519,0.2394608760763759,0.06855516750743759,0.0965205018755659,0.02121329711550899,0.18628896649851248,-0.0592407989037347,-0.12192488175947243,-0.15309634746668516,-0.10524813568491156,0.023959168513782946,0.017918410001652084,0.024628440923578552,0.0204503402918449
Crown Heights North,0.5277777777777778,1.0,0.5500868071760598,0.10677282655366176,0.09333973743195643,0.12308884201093954,0.15730767076745011,0.65915582354808,0.0304478503556294,0.02999981331790095,0.5747437588209435,0.25533883991578166,0.16991740126327481,0.6839262330859887,0.1959706460061109,0.12010312090790047,0.0943117964418392,0.15364870162600108,0.04109806410663282,0.2890585621744731,0.03333373049165532,-0.0166587778243433,0.11734620977169694,0.009931745437695028,0.03296078626811715,0.028523892628589304,0.04771447071203501,0.031732131386249245
Crown Heights South,0.0,0.0,0.5299556741814022,0.11338830370335065,0.12589611951343602,0.08183594680901768,0.28154044135169914,0.6002812068061579,0.012725799532910729,0.02361660550021448,0.5400440852314474,0.3081290494956917,0.15182686527286088,0.6847294264797852,0.18868410403561048,0.12658646948460436,0.057146942471760165,0.10206853820122967,0.029765025499261237,0.1889805061722511,-0.10024426510283654,-0.11170190657305856,-0.03678865857385674,-0.10223157015676179,0.01997213739693389,0.018948367240327287,0.0345569181492971,0.02074581083565403
Cypress Hills-City Line,0.0,0.0,0.5194380253174912,0.07587067220188552,0.07880434782608696,0.6157590134767582,0.031861592261600444,0.2455673940162376,0.0803288410805947,0.0264831591648091,0.5438237163641501,0.3074369658874214,0.14873931774842855,0.8716408997412248,0.09030588547541636,0.03805321478335877,0.06300742346469253,0.092619480970981,0.017362318247816932,0.17298922268349046,-0.07918051210421664,-0.12911301780767723,-0.20547154368168233,-0.1201539344427993,0.02202030177004632,0.017194210576295974,0.02015749022579365,0.018990327431589262
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.1388888888888889,1.0,0.5187359450822583,0.08966741626227956,0.08790642347343379,0.20572848857853,0.4484317670730264,0.19476861167002013,0.11087702686708488,0.04019410581133863,0.32806369064543645,0.19198180267273243,0.4799545066818311,0.4010782860926317,0.3191033199861273,0.27981839392124097,0.11319682802698545,0.2565037282518641,0.05330808379689904,0.4230086400757486,0.10121035037326286,0.17286492448637228,0.2834084497989797,0.16005741195952733,0.03956086720421207,0.04761826638339061,0.06189019016667845,0.04643683841580964
Dyker Heights,0.0,0.0,0.5140702312705713,0.1478518647688384,0.08426891502107832,0.11221309152734486,0.4667916385116725,0.008021448656189376,0.4026200492621575,0.010353772042635745,0.44965452471993017,0.2892600791574428,0.26108539612262693,0.7321889479740026,0.1684858662188637,0.09932518580713376,0.02125247945593653,0.03949691566580204,0.01299125923665453,0.0737406543583931,-0.22925621888192318,-0.22699822170250245,-0.26492008423266333,-0.23138759480785218,0.00742747418077931,0.007332348205285031,0.015082731311905417,0.008095065979039055
East Flatbush-Farragut,0.08333333333333333,1.0,0.5704679181843654,0.15462781357990102,0.08171148964350097,0.06524703465022882,0.016605958718595312,0.8838516858130195,0.016755393667694032,0.017539927150462313,0.4710605733994396,0.3384888984694977,0.19045052813106272,0.760146804835924,0.15579123488773747,0.08406196027633851,0.06558326328570094,0.09248155412347064,0.029980386662930788,0.1880452040721024,-0.06992242325124311,-0.12936716588041355,-0.0338596414091786,-0.10327981778292279,0.02292052537943882,0.017168605344703707,0.034806950460058966,0.02064313569292693
East New York,1.0,1.0,0.54770879213959,0.09517406403523633,0.11284312053973745,0.2697992546162968,0.01712053193291547,0.6615915636117229,0.028650686091817718,0.022837963747247163,0.6287258734424628,0.24343391155631566,0.12784021500122159,0.8524688810948353,0.10642321711024,0.0411079017949247,0.1085994409622226,0.1808084872098933,0.03850796205319329,0.32791589022530915,0.08468641220368256,0.03338664325700348,0.08211955495832908,0.05348141979614272,0.03795413826731918,0.03356593203153959,0.04470738628466713,0.03599779239885566
East New York (Pennsylvania Ave),0.3611111111111111,1.0,0.5563215268108805,0.07715556762997929,0.15664946407304484,0.2347607566135769,0.01901721737358644,0.7278839949740211,0.006723944714232349,0.01161408632458315,0.6657406488738963,0.22303799980156763,0.11122135132453616,0.8909525979945305,0.07811075660893345,0.030936645396536008,0.11603898529561585,0.19530003056338507,0.04557340306313037,0.3569124189221313,0.11142563795151124,0.06008918798085461,0.17821300858528194,0.08597952107114329,0.04055416541086295,0.03625619379270762,0.05291029767391297,0.039180959337177766
East Williamsburg,0.19444444444444442,1.0,0.5158538279838821,0.1263304154508823,0.07985414767547858,0.2976517993608448,0.4413505627344727,0.08684173961372793,0.1538974572738641,0.020258441017090453,0.47820095214232017,0.24855925833124531,0.27323978952643446,0.5806733393994541,0.3036214740673339,0.11570518653321203,0.08595248020008336,0.1382242601083785,0.034153119355286934,0.2583298596637488,0.0032886586338941623,-0.04508030818987898,0.02289156419945282,-0.024507704080009705,0.03003931041475421,0.025660444327050457,0.039651454359853254,0.028358810706646892
Erasmus,0.08333333333333333,1.0,0.5611856324402209,0.12635081820988714,0.10088895160152392,0.09753336306562832,0.04219698788980754,0.8224638924148341,0.01540361590449072,0.022402140725239286,0.5539639908485029,0.2999104744852283,0.14612553466626876,0.7900854879065888,0.1423582151793161,0.06755629691409508,0.1120450101204158,0.17304195684243026,0.055267762187382066,0.3403547291502281,0.0970704840529677,0.019075805589298542,0.3100610344394535,0.06742235222126215,0.03915832133751718,0.03212412565144126,0.06416535857668197,0.037363297257416724
Flatbush,0.05555555555555555,1.0,0.5372055994772349,0.10770066173966664,0.08504962891723675,0.18949315711485187,0.22419077245911292,0.4515936053307318,0.10242699235179883,0.03229547274350455,0.5086417824977874,0.3084491644541621,0.18290905304805039,0.6652473160312165,0.20426084407153527,0.13049183989724833,0.052313327749809034,0.08959715792476967,0.02426992351798846,0.16618040919256716,-0.11761725321020475,-0.13468203929440092,-0.1115247333171253,-0.12778496892641547,0.018282849865963086,0.016633135753360704,0.028177155787138308,0.018242872788996688
Flatlands,0.027777777777777776,1.0,0.5389164598842018,0.13331954783567687,0.09904076738609112,0.085456299972429,0.15795423214778054,0.6980011028398125,0.04146677695064792,0.017121588089330026,0.3637585056126208,0.3302994842456551,0.30594201014172406,0.6900457147563939,0.19336106420658128,0.11659322103702485,0.04838709677419355,0.0764957264957265,0.0213950923628343,0.14627791563275433,-0.13172892076541587,-0.15882312283166256,-0.15062384318225544,-0.1500908545065307,0.01691068153804528,0.0142009393247017,0.024839503517222486,0.01605802645265892
Fort Greene,0.1388888888888889,1.0,0.5499867934495509,0.12562731114632858,0.10244167774688746,0.2140121500264131,0.281959852086635,0.3705097728473323,0.09696909667194928,0.03654912836767036,0.4479750280134464,0.24787898191131738,0.30414599007523613,0.5189669459534113,0.24555749930945586,0.2354755547371329,0.10251584786053884,0.2220351294241944,0.0411053882725832,0.3656563655573165,0.0628207491988007,0.10935206879439659,0.11744582201106306,0.09577937215899404,0.035827999019293635,0.04121939283864994,0.04772297400067709,0.040140848092504004
Georgetown-Marine Park-Bergen Beach-Mill Basin,0.0,0.0,0.5171364876971477,0.16115590557743192,0.07135636057287277,0.10663166447902994,0.6761255911827823,0.1265079067441715,0.07458799508302602,0.016146842510990272,0.31850131045985225,0.2803788420300215,0.40111984751012625,0.6229722340360897,0.22212771128258094,0.15490005468132936,0.03704398191553639,0.07510886097047732,0.01433422922265975,0.12648707210867347,-0.17249836783057537,-0.16137860210744379,-0.24665503554128218,-0.1722716073782962,0.012946405608878052,0.013943476665311382,0.016641906992252032,0.013885436780079786
Gravesend,0.0,0.0,0.5404450607501321,0.18234944532488115,0.10848681834597328,0.14286185948230326,0.5036648177496038,0.07871104067617539,0.24874537770734284,0.026016904384574747,0.5747692307692307,0.24272527472527472,0.1825054945054945,0.6907630522088354,0.18799905504370426,0.12123789274746045,0.042591125198098254,0.0731973058637084,0.018258055995773903,0.13404648705758054,-0.15256081388359594,-0.16490088986420673,-0.19328907218073055,-0.16379933005303626,0.01488506239448914,0.013588608761827053,0.02119743343162605,0.014715290587410041
Greenpoint,0.0,0.0,0.520584090432071,0.09714851128901683,0.05539499036608863,0.13013103055380648,0.754610056669965,0.022068303798986538,0.05846901142394531,0.03472159755329675,0.34337387359001825,0.3094712962379482,0.3471548301720335,0.43738209258453054,0.3546655057321144,0.2079524016833551,0.05025336571617043,0.09079188030343918,0.021168780546310457,0.16221402656592007,-0.12502117304467336,-0.13248060864130753,-0.15370179458200237,-0.13223032532213833,0.01756291905271567,0.01685492827415331,0.02457675760020564,0.017807453150532795
Homecrest,0.0,0.0,0.5097942312876269,0.14246563033516038,0.08158660114331563,0.1000539131997484,0.7788884895318537,0.009592056788570402,0.08659807709587564,0.02486746338395184,0.48449438202247186,0.2721669341894061,0.243338683788122,0.6219317154578958,0.2332939294902997,0.14477435505180447,0.03567256716686135,0.06089945188246922,0.013006559439302722,0.1095785784886333,-0.17742750957842726,-0.18756127792165295,-0.26471199399291906,-0.1912219425655556,0.01246711340873533,0.011305591314814829,0.01510049470507282,0.012029264324718233
Kensington-Ocean Parkway,0.027777777777777776,1.0,0.5047775772374987,0.106407261917401,0.06497398778556887,0.16073893194606645,0.4978235481473618,0.07118590083873022,0.22337827794882684,0.046873341119014755,0.4731739380494619,0.30449428970503656,0.2223317722455016,0.5979619223349828,0.2350079677933406,0.1670301098716766,0.028771631808047562,0.047351098842764616,0.016933857097356408,0.0930565877481686,-0.20223086582730804,-0.21252587238564188,-0.21129882489948926,-0.20973910142833657,0.010055323325272914,0.008790426765364717,0.019660050809624314,0.01021552119600797
Madison,0.0,0.0,0.5101191366332686,0.174069089277703,0.0582010582010582,0.08651114101988934,0.6541797517571407,0.013633418074871641,0.2216489706395494,0.024026718508548924,0.4391081772868113,0.28209618752525933,0.27879563518792944,0.5904597132970836,0.2479697761457524,0.16157051055716404,0.03686256916404965,0.04912516823687752,0.012486914909525946,0.09847465231045313,-0.17315040192005116,-0.20925691985353628,-0.27177941376960035,-0.20366676040087728,0.012883004134686505,0.0091197713311035,0.014497192232421765,0.010810302873659227
Midwood,0.0,0.0,0.5178634992599809,0.14901549356464394,0.09170175662455872,0.07267175000468366,0.7471570151938101,0.052719336043614284,0.11139629428405493,0.016055604473837047,0.5230250842381131,0.23907578755950154,0.2378991282023854,0.5748632905373277,0.2455123632905373,0.17962434617213505,0.027708563613541414,0.04503812503512749,0.011933979054649008,0.0846806677033179,-0.20605174774754137,-0.21678782606696906,-0.2792996118513008,-0.21912648364690873,0.009683794366335537,0.008361038063451884,0.013855238840536776,0.009296033486166339
North Side-South Side,0.19444444444444442,1.0,0.4966316951960243,0.06922510583471378,0.058566996429198624,0.3488312166390576,0.5258788882753543,0.029099944781888463,0.07047671636296705,0.025713233940732563,0.38817325149131154,0.23225555459496844,0.3795711939137201,0.444148542683829,0.3599891502687774,0.1958623070473936,0.07551997055034051,0.11704399042886067,0.023670163813730903,0.21623412479293208,-0.034207889291594185,-0.08410769710110058,-0.11968175865317036,-0.07168684987987577,0.026393279549280238,0.02172846356971423,0.02748084034101885,0.02373764543247937
Ocean Hill,0.3055555555555555,1.0,0.5457163850110213,0.10489346069066864,0.10226135681408843,0.20358559882439384,0.03850110213078619,0.7275826598089641,0.018750918442321823,0.011579720793534165,0.6349306930693069,0.25996039603960397,0.1051089108910891,0.8119629558907772,0.1388676723314875,0.04916937177773535,0.1050991917707568,0.1731373989713446,0.04626010286554005,0.32449669360764144,0.07210580926485045,0.019251670067891913,0.18755246178086948,0.049649326681759615,0.036730845213451824,0.03214184386844268,0.05370754976649387,0.035622441482103494
Ocean Parkway South,0.0,0.0,0.5051051616242412,0.1382863595727662,0.06356606777348192,0.08154142944525479,0.8255305133392933,0.010774949418905564,0.050910459699807085,0.031242648096739285,0.47379976580796257,0.2495608899297424,0.2766393442622951,0.605185669883854,0.22313103222640274,0.17168329788974318,0.02310262080647438,0.041782336611301936,0.013315767185809062,0.07820072460358538,-0.22260643698394236,-0.22278703773669442,-0.26050661739884484,-0.22638893389787365,0.008074075305151812,0.007756621895662487,0.015459482026868107,0.00858468141871912
Park Slope-Gowanus,0.3055555555555555,1.0,0.518847876991378,0.09045627427890797,0.04718330598678951,0.16670050486593305,0.6691300875732596,0.04412501184336974,0.07007214304083594,0.04997225267660157,0.2022987767682281,0.2376793912736379,0.5600218319581339,0.2434666474155357,0.35973144672249496,0.3968019058619694,0.040619374399371966,0.07000446664230316,0.02068190739161625,0.13130574843329135,-0.15964768471370178,-0.1707841094789827,-0.1603235076282249,-0.16687103571517703,0.014195960298009775,0.012995878708348356,0.02401150238964735,0.014414419104942696
park-cemetery-etc-Brooklyn,0.0,0.0,0.4106666666666667,0.013333333333333334,0.08709677419354839,0.22666666666666666,0.5786666666666667,0.06133333333333332,0.07466666666666667,0.058666666666666666,0.1333333333333333,0.35757575757575755,0.5090909090909091,0.36666666666666653,0.43666666666666665,0.19666666666666666,2.861333333333333,5.386666666666668,0.8613333333333333,9.109333333333334,9.978568305133791,9.625854296433218,11.272947069756665,9.895328228012767,1.0,1.0,1.0,1.0
Prospect Heights,0.1111111111111111,1.0,0.5133460205923974,0.1027180012687259,0.05596959308391713,0.1143317230273752,0.5058312594544478,0.24837749475430634,0.07295173961840629,0.0585077831454643,0.30854142106955307,0.23909548815775372,0.4523630907726932,0.32252073789773433,0.32741116751269034,0.3500680945895753,0.04928512174888987,0.08012492070463086,0.020153223051773774,0.1495632655052945,-0.12850123752978942,-0.15213586266130538,-0.167513873243407,-0.1464087712476018,0.017224529968158157,0.014874675873384438,0.0233977047814711,0.016418684005996907
Prospect Lefferts Gardens-Wingate,0.08333333333333333,1.0,0.5524415033951818,0.14086760953245964,0.10420403587443948,0.10515692804521144,0.14686504332280897,0.7016709196545708,0.02182719893891556,0.024479910038493147,0.5473486273034975,0.28627303497555473,0.1663783377209477,0.7270903010033445,0.16780936454849502,0.10510033444816054,0.07756296584634459,0.12779147384052014,0.0373253752000346,0.2426798148868993,-0.02686495134089195,-0.06430406753120145,0.0660357953212416,-0.04204762223483652,0.027107280701192196,0.02372366469811636,0.04333441393192872,0.02664078764127261
Rugby-Remsen Village,0.027777777777777776,1.0,0.5636896570213222,0.1435899269003235,0.09633354732862544,0.07000768529606262,0.017604689817876357,0.8891887544458544,0.010866651176922664,0.012332219263283945,0.5333076441404556,0.30687346466933196,0.15981889119021242,0.7866391148544375,0.14367921320394444,0.06968167194161806,0.07236689245947346,0.1022144376329288,0.038909045414737886,0.21349037550714015,-0.04554068913711534,-0.11143306798181274,0.0875744848556875,-0.074761929765995,0.0252913184271226,0.01897545253086549,0.04517304034218795,0.023436443447066028
Seagate-Coney Island,0.1111111111111111,1.0,0.5526165043636486,0.19264076557603527,0.1751731213131572,0.2620210937763251,0.3105435185497186,0.2979074704316474,0.10540148936887153,0.024126427873437342,0.6866405609689463,0.19087514798287952,0.12248429104817413,0.7679329157405537,0.15235401091129522,0.07971307334815114,0.09330457930383801,0.1747818175691613,0.04636587256124272,0.314452269434242,0.02971358855511126,0.022281724223052173,0.18899098137714765,0.03839195455114408,0.03260877655073556,0.03244711959823539,0.0538303474008236,0.03451978953098382
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.0,0.0,0.52455010332916,0.19149834824189585,0.09768543830872972,0.08762614454014753,0.6553482268112772,0.07151584631861584,0.17007828880877318,0.015431493521186248,0.47541797083746856,0.26960073288037256,0.25498129628215893,0.5953627831515823,0.25034399194956153,0.1542932248988561,0.04306638709969378,0.06961519315764862,0.01974567450560391,0.1324272547629463,-0.15085262656638845,-0.17150139627033695,-0.17305673281395978,-0.16561409814645092,0.015051160449566793,0.012923612591147639,0.022924544704648504,0.014537535285744984
Starrett City,0.0,0.0,0.6069583467872134,0.2911688731030029,0.10393374741200828,0.17823700355182434,0.2227155311591863,0.5502098805295447,0.024701323861801745,0.024136260897642883,0.7523408239700374,0.1992821473158552,0.04837702871410737,0.8109965635738832,0.11200601374570447,0.07699742268041238,0.03503390377784953,0.05093639005489183,0.014288020665159832,0.1002583144979012,-0.17972299486225127,-0.20591950917058863,-0.2472834945250939,-0.20166770613427368,0.012243908589649187,0.009456013005239818,0.016588259286176278,0.01100610888077077
Stuyvesant Heights,0.5555555555555556,1.0,0.5380504965044307,0.11117543156551038,0.13155080213903744,0.17981030413679475,0.09665879978032092,0.6684626916625848,0.033590120378204275,0.021478084042095263,0.5699992152554343,0.24205446127285568,0.18794632347170995,0.7298842841765342,0.17624237531395767,0.09387334050950844,0.08969734752341511,0.1397633996823559,0.041516379451099136,0.2709771266568702,0.01674846857208726,-0.04224424426570915,0.12303550306540388,-0.010333174159830828,0.03134809442803418,0.02594617568360567,0.04820013094167857,0.02974719628112597
Sunset Park East,0.0,0.0,0.4944885177453027,0.08090466249130132,0.08101595940697905,0.3187334725121781,0.12677800974251913,0.01454418928322895,0.5280167014613779,0.011927627000695893,0.6124579631581588,0.27229834864227276,0.11524368819956834,0.8503725654405291,0.1002168824754665,0.04941055208400438,0.04090466249130132,0.06335421016005567,0.015017397355601947,0.11927627000695895,-0.15862230165912067,-0.18303806799883257,-0.2373636147778842,-0.18035317394875217,0.01429566489677353,0.011761301391099443,0.017435058849383067,0.013093852825705387
Sunset Park West,0.0,0.0,0.4698224027049166,0.0886243616780243,0.08770444617520573,0.6360388308904265,0.1696672882862471,0.031667741429492656,0.14721926904508775,0.015406870348746014,0.5222036528590187,0.2700250686403247,0.20777127850065658,0.7626764918066578,0.1431516025971349,0.09417190559620736,0.05753176359865453,0.11799152970702545,0.02574202206459034,0.20126531537027031,-0.0988611402065475,-0.08236173331134977,-0.0915034730414766,-0.08846326783217905,0.02010662753913835,0.021904368138680463,0.02988624852700117,0.02209440669316492
West Brighton,0.0,0.0,0.5592865304049766,0.35286276501206043,0.08870657607998975,0.02723117938301384,0.9477592992255937,0.011235241843341374,0.009457915450044431,0.004316364098006855,0.5703393999016233,0.2669699950811608,0.16269060501721597,0.4905105193467706,0.2865234662351037,0.22296601441812566,0.09635648089374127,0.16960771867462232,0.03262663450552241,0.298590834073886,0.04068273961000652,0.012747777163937487,0.0021306235990302385,0.020615118637532945,0.03367537775876326,0.03148658143712048,0.0378792196271545,0.032778560532115704
Williamsburg,0.027777777777777776,1.0,0.4865993425533805,0.07572482009062102,0.044107965766951945,0.08138123019516096,0.8746113068972665,0.03666301418544733,0.0033760772351704325,0.003968371486954719,0.752495490078172,0.16608538785327723,0.08141912206855081,0.9185772444825371,0.047568030854938936,0.033854724662524115,0.016258477211478658,0.03305001924956318,0.009239790327834868,0.05854828678887671,-0.24720567215694858,-0.23887746297345885,-0.315941896334075,-0.2484145674170006,0.005682133228615561,0.0061355233755377185,0.010727310752130266,0.006427285581331606
Windsor Terrace,0.027777777777777776,1.0,0.5363805546729609,0.11760700830647725,0.04226116625310174,0.13077027824429213,0.6749580137079569,0.04788706822205074,0.11710771186056013,0.029276927965140028,0.2724685276409414,0.2738916256157635,0.45363984674329505,0.352717763526555,0.3321088350663097,0.3151734014071353,0.01933638963279016,0.030910989060868775,0.010666787708229312,0.06091416640188825,-0.23614303291759667,-0.242818903017905,-0.29653403397900624,-0.245762988116871,0.006757824894963943,0.00573842618704247,0.012384041456922578,0.006687005972104243
Battery Park City-Lower Manhattan,0.027777777777777776,1.0,0.514310077180401,0.05979841266370772,0.03802750118539592,0.08658197957889674,0.6480967269388023,0.024050549883026868,0.21179788792443754,0.029472855674836568,0.17495696294282864,0.18107275527770228,0.643970281779469,0.15381443298969072,0.455699558173785,0.3904860088365243,0.052823753197629934,0.14030216236307586,0.023810044384196604,0.2169359599449024,-0.11578268100186973,-0.04125150427752839,-0.11777931447559492,-0.07090026228225116,0.018461237138034697,0.02604619350799675,0.027643240384129186,0.023814691153202106
