,GeoType,GeogName,GeoID,Borough,Population,MalePop,FemalePop,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopNative,PopAsian,PopPacific,PopOther1,PopOther2,HHUnder10,HHI10t14E,HHI15t24E,HHI25t34E,HHI35t49E,HHI50t74E,HHI75t99E,HI100t149E,HI150t199E,HHI200plE,MedianHHInc,MeanHHInc,PopOver25,EduBelow9,Edu9t12,EduHS,EduCollND,EduAssoc,EduBachelor,EduGradProf,EduLessHS,EduaboveBach
26,NTA2010,Fort Greene,BK68,Brooklyn,"30,288","13,630","16,658","5,492","3,805",35.7,"6,482","23,806","8,540","11,222",19.0,"2,937",0.0,83,"1,005","1,354",739,"1,155","1,033","1,316","1,590","1,507","1,473",926,"1,401","59,907","93,799","21,722","1,818","2,071","3,584","2,958",842,"5,334","5,115","3,889","10,449"
27,NTA2010,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Brooklyn,"47,997","23,176","24,821","11,601","7,735",40.4,"5,118","42,879","32,452","6,072",0.0,"3,580",0.0,136,639,664,592,"1,076","1,335","1,680","2,561","2,146","3,487","1,627","1,620","80,660","101,679","32,918","1,482","1,475","9,567","5,402","2,581","7,312","5,099","2,957","12,411"
28,NTA2010,Gravesend,BK26,Brooklyn,"30,288","13,919","16,369","6,477","5,523",40.4,"4,327","25,961","15,255","2,384",105.0,"7,534",0.0,24,659,"1,546",993,"1,560","1,211","1,228","1,666","1,095","1,246",465,365,"38,573","60,829","21,165","2,346","2,283","5,697","2,641","1,653","3,979","2,566","4,629","6,545"
29,NTA2010,Greenpoint,BK76,Brooklyn,"33,351","15,989","17,362","3,361","3,240",34.7,"4,340","29,011","25,167",736,29.0,"1,950",9.0,185,935,"1,235",429,"1,409",971,"1,405","2,555","2,356","2,970","1,181","1,358","74,283","89,569","27,564","1,183","1,318","4,685","3,572","1,298","9,776","5,732","2,501","15,508"
30,NTA2010,Homecrest,BK25,Brooklyn,"44,516","21,822","22,694","12,516","6,342",33.6,"4,454","40,062","34,673",427,108.0,"3,855",159.0,82,758,"1,332",954,"1,876","1,448","1,936","2,504","1,735","2,136",793,861,"52,093","75,661","28,762","2,362","2,178","7,609","3,695","2,044","6,710","4,164","4,540","10,874"
31,NTA2010,Kensington-Ocean Parkway,BK41,Brooklyn,"37,676","18,658","19,018","10,438","4,009",32.8,"6,056","31,620","18,756","2,682",31.0,"8,416",0.0,212,"1,523","1,058",664,"1,491","1,221","1,325","2,074","1,632","1,580",663,463,"54,163","70,115","23,846","2,391","1,983","5,091","3,058","1,736","5,604","3,983","4,374","9,587"
32,NTA2010,Madison,BK44,Brooklyn,"40,122","19,655","20,467","8,365","6,984",41.5,"3,471","36,651","26,247",547,0.0,"8,893",65.0,60,839,"1,246",798,"1,484","1,233","1,758","2,461","1,727","2,293",865,981,"58,966","77,976","28,322","2,371","1,655","7,299","3,407","1,991","7,023","4,576","4,026","11,599"
33,NTA2010,Midwood,BK43,Brooklyn,"53,377","25,735","27,642","14,500","7,954",34.6,"3,879","49,498","39,881","2,814",87.0,"5,946",0.0,92,678,"2,369","1,375","2,128","1,729","2,178","2,655","1,815","2,096",989,"1,363","46,598","77,887","33,648","2,468","2,282","7,387","4,377","2,829","8,261","6,044","4,750","14,305"
34,NTA2010,North Side-South Side,BK73,Brooklyn,"54,330","27,348","26,982","9,660","3,761",32.2,"18,952","35,378","28,571","1,581",0.0,"3,829",28.0,215,"1,154","1,968","1,350","1,582","1,821","2,259","2,789","2,584","3,553","2,192","3,036","73,312","104,645","40,554","2,945","2,931","5,751","5,164","1,221","14,599","7,943","5,876","22,542"
35,NTA2010,Ocean Hill,BK79,Brooklyn,"34,025","15,457","18,568","9,463","3,569",32.7,"6,927","27,098","1,310","24,756",29.0,638,0.0,66,299,"2,104","1,149","1,635","1,361","1,767","2,217","1,065",790,318,219,"35,638","50,288","20,948","2,445","3,034","6,715","3,158","1,657","2,909","1,030","5,479","3,939"
36,NTA2010,Ocean Parkway South,BK46,Brooklyn,"21,253","10,518","10,735","6,895","2,939",31.2,"1,733","19,520","17,545",229,301.0,"1,082",0.0,5,358,682,296,900,586,773,"1,062",643,829,410,651,"54,104","89,512","12,226",899,774,"3,035","1,847",844,"2,728","2,099","1,673","4,827"
