,GeogName,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,NTA,GardenCounts,HasGarden
30,Windsor Terrace,22031.0,0.4636194453270392,0.5363805546729609,0.21592301756615678,0.11760700830647723,0.13077027824429213,0.8692297217557079,0.6749580137079569,0.047887068222050744,0.0004085152739321865,0.11710771186056013,0.0,0.00553765149108075,0.023330761200127094,9135.0,0.05790914066776136,0.031198686371100164,0.059113300492610835,0.04630541871921182,0.07794198139025725,0.14187192118226602,0.13201970443349753,0.2174055829228243,0.08779419813902573,0.148440065681445,17522.0,0.736616824563406,12896.0,0.04226116625310174,16061.0,0.352717763526555,0.33210883506630967,0.3151734014071353,Windsor Terrace,1,1
31,Battery Park City-Lower Manhattan,45737.0,0.485689922819599,0.514310077180401,0.14931018650108227,0.05979841266370772,0.08658197957889674,0.9134180204211033,0.6480967269388023,0.02405054988302687,0.0008964295865491834,0.21179788792443754,0.00013118481754378293,0.004985023066663752,0.023460218204079848,22074.0,0.06106731901784905,0.01839267917006433,0.03420313490984869,0.022062154570988493,0.0392316752740781,0.08593820784633506,0.09513454743136722,0.20041677992208026,0.1127117876234484,0.3308417142339404,39203.0,0.8070810907328521,31635.0,0.03802750118539592,33950.0,0.15381443298969072,0.455699558173785,0.3904860088365243,Battery Park City-Lower Manhattan,1,1
32,Central Harlem North-Polo Grounds,85872.0,0.46443543879262156,0.5355645612073784,0.22004844419601266,0.09593348239239799,0.2592696105831936,0.7407303894168064,0.09048351034097261,0.5981227874045091,0.0040641885597167875,0.02032094279858394,0.0009432643935159306,0.00228246692752003,0.024513228991988077,34755.0,0.15922888792979428,0.09074953244137535,0.13244137534167746,0.11086174651129334,0.11704790677600345,0.15554596460940873,0.0870953819594303,0.08559919436052367,0.02681628542655733,0.034613724643936125,68603.0,0.6414442517091089,43984.0,0.14507548199345216,57680.0,0.689008321775312,0.1832004160887656,0.12779126213592232,Central Harlem North-Polo Grounds,16,1
33,Central Harlem South,50095.0,0.4715839904182054,0.5284160095817946,0.207226270086835,0.08877133446451742,0.19642678910070865,0.8035732108992913,0.1991017067571614,0.5234254915660246,0.000938217386964767,0.05232059087733307,0.0,0.002994310809462022,0.024792893502345544,19505.0,0.14288643937451936,0.07633940015380672,0.07372468597795437,0.07331453473468341,0.10797231479107922,0.14944885926685464,0.09146372724942323,0.12401948218405537,0.07234042553191489,0.08849013073570879,40518.0,0.6464781084949899,26165.0,0.07403019300592395,35200.0,0.5582386363636364,0.2288068181818182,0.21295454545454545,Central Harlem South,11,1
34,Chinatown,44898.0,0.5228963428215065,0.47710365717849346,0.12114125350795135,0.16974030023609069,0.1470889571918571,0.8529110428081429,0.17744665686667557,0.0549467682302107,0.0008909082809924718,0.5865740122054435,0.00017818165619849435,0.007216357076039022,0.02565815849258319,18191.0,0.14105876532351164,0.11049420042878347,0.13831015337254687,0.08317299763619372,0.09807047441042274,0.1345170688802155,0.0962014182837667,0.09290308394260899,0.037216205816062886,0.06805563190588752,40184.0,0.590707744375871,23737.0,0.08240299953658844,35477.0,0.6576091552273304,0.23950728641091412,0.1028835583617555,Chinatown,5,1
35,Clinton,44293.0,0.5520285372406475,0.4479714627593525,0.058496827941209674,0.11342650080148105,0.19389068250062086,0.8061093174993791,0.56214300228027,0.05666809653895649,0.0018061544713611631,0.15844490100015804,0.0002709231707041745,0.008127695121125234,0.01864854491680401,26448.0,0.07267090139140955,0.03799909255898366,0.06987295825771325,0.09063067150635208,0.0749395039322444,0.12254234724742892,0.11445099818511796,0.1587265577737447,0.09081972171808833,0.16734724742891713,41934.0,0.7775313588019268,32605.0,0.058948014108265605,37316.0,0.2885089505841998,0.42877050058955946,0.28272054882624076,Clinton,5,1
36,East Harlem North,61031.0,0.45860300503023055,0.5413969949697695,0.23874752175124117,0.11520374891448608,0.4784453802166112,0.5215546197833888,0.08497321033573102,0.3583916370369157,0.00034408743097769984,0.05467713129393259,0.0002621618521734856,0.008323638806508169,0.014582753027150137,23913.0,0.2105131100238364,0.12139840254255008,0.13979843599715636,0.10722201313093296,0.11868021578221051,0.12880023418224396,0.06348011541839167,0.057876468866307026,0.030527328231505876,0.021703675824865137,48298.0,0.5336452855190691,25757.0,0.09488682688201265,39697.0,0.7382421845479508,0.15930674862080257,0.10245106683124669,East Harlem North,24,1
37,East Harlem South,59777.0,0.4581528012446259,0.5418471987553741,0.18642621744149088,0.128611338809241,0.4328253341586229,0.5671746658413771,0.21744149087441658,0.22928551114977333,0.0,0.0979139133780551,0.0012044766381718722,0.006373688876992824,0.014955584923967412,24057.0,0.16020285156087624,0.10828449100054038,0.12707320114727522,0.09261337656399385,0.10117637278131106,0.13339152845325686,0.09473334164692189,0.08442449183189923,0.028723448476534897,0.06937689653739036,49982.0,0.5828098115321516,29120.0,0.11260302197802198,41724.0,0.6037292685265075,0.22965199884958298,0.1666187326239095,East Harlem South,16,1
38,East Village,43022.0,0.5076704941657757,0.49232950583422436,0.05120635953698108,0.09418437078703919,0.10859560225001162,0.8914043977499884,0.6791409046534331,0.050439310120403515,0.0010924643205801683,0.13846404165310772,0.0008600251034354517,0.0010692203988656966,0.020338431500162707,22352.0,0.10947566213314244,0.034940944881889764,0.08773264137437366,0.07605583392984967,0.07874015748031496,0.11815497494631352,0.11560486757337152,0.15730136005726558,0.08522727272727272,0.13676628489620615,41068.0,0.6956267653647609,28568.0,0.05453654438532624,32756.0,0.29423617047258516,0.437629747221883,0.2681340823055318,East Village,13,1
39,Hamilton Heights,52508.0,0.5075226632132247,0.49247733678677535,0.1755161118305782,0.10373657347451817,0.45808257789289253,0.5419174221071075,0.1668126761636322,0.29565018663822656,0.0009903252837662833,0.035480307762626645,0.0,0.0021901424544831264,0.040793783804372666,19226.0,0.13601373140538853,0.05659003432851347,0.1001248309580776,0.12670342244876728,0.11312805575782794,0.18599812753562883,0.1075626755435348,0.0922188702798294,0.04894413814626027,0.03271611359617185,44399.0,0.6984166310052028,31009.0,0.09523041697571673,37497.0,0.6636530922473798,0.19060191481985225,0.14574499293276796,Hamilton Heights,11,1
