NTA,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden,FELONY_norm,MISDEMEANOR_norm,VIOLATION_norm,TOTAL_CRIME_norm
Bushwick South,75003.0,0.4898870711838193,0.5101129288161806,0.2132048051411277,0.09992933615988693,0.5490713704785142,0.4509286295214858,0.14510086263216138,0.2561897524099036,0.0017065984027305574,0.034118635254589816,0.0,0.0022799088036478538,0.011532872018452595,26256.0,0.1640386959171237,0.08565661182205972,0.12138177940280315,0.08679920780012187,0.12370505789152955,0.16289609993906154,0.09773004265691652,0.10496648385131016,0.02909811090798294,0.0237279098110908,60916.0,0.6657528399763609,40555.0,0.12782640858093947,49208.0,0.7587384165176394,0.18251097382539425,0.05875060965696635,16.0,1.0,0.08582323373731718,0.12718157940349056,0.032425369651880594,0.2454301827926883
Canarsie,88367.0,0.43984745436644895,0.560152545633551,0.2275057430941415,0.11686489300304413,0.061866986544750875,0.9381330134552492,0.045808955831928205,0.8474317335656976,0.0037457421888261455,0.028392952120135345,0.0,0.003723109305509976,0.009030520443151856,28677.0,0.0805523590333717,0.045367367576803715,0.0849809952226523,0.08086619939324198,0.12166544617637827,0.1680789482860829,0.15071311503992746,0.16138368727551694,0.06642954283920913,0.03996233915681557,70724.0,0.6643289406707765,46931.0,0.084698813151222,58981.0,0.7404587918143131,0.1710042216985131,0.08853698648717384,1.0,1.0,0.05258750438512114,0.08093519073862415,0.029026672852988107,0.1625493679767334
Carroll Gardens-Columbia Street-Red Hook,42463.0,0.472246426300544,0.527753573699456,0.20332995784565386,0.10686950992628877,0.18927065916209407,0.8107293408379059,0.6071167840237384,0.10908320184631326,0.0,0.053246355650801866,0.0,0.006052327909003132,0.03523067140804936,18111.0,0.1097675445861631,0.038374468555021815,0.05902490199326376,0.04731930870741538,0.06272431119209321,0.11771851361051296,0.097068080172271,0.1499641102092651,0.11059577052619957,0.20744299044779416,34479.0,0.7231938281272658,24929.0,0.08187251795098079,31675.0,0.374585635359116,0.31485398579321233,0.3105603788476717,6.0,1.0,0.05447095118102819,0.10566846431010526,0.023337964816428417,0.1834773803075619
Clinton Hill,38655.0,0.4692795239943086,0.5307204760056914,0.1863665761221058,0.09838313284180572,0.110128055878929,0.8898719441210711,0.40119001422843104,0.381891087828224,0.0003104384943733023,0.06348467209934032,0.00043978786702884485,0.004268529297632906,0.03828741430604062,15797.0,0.08596568968791543,0.048996644932582135,0.06868392732797368,0.06659492308666203,0.09096663923529784,0.15028169905678293,0.14065961891498385,0.1678166740520352,0.09020700132936632,0.08982718237640057,31989.0,0.7136515677264059,22829.0,0.07928511980375838,26710.0,0.4324223137401722,0.3281168101834519,0.2394608760763759,6.0,1.0,0.06855516750743759,0.0965205018755659,0.02121329711550899,0.18628896649851248
Crown Heights North,107134.0,0.4499131928239401,0.5500868071760598,0.20577034368174435,0.10677282655366176,0.12308884201093954,0.8769111579890604,0.15730767076745011,0.65915582354808,0.002230851083689585,0.0304478503556294,0.0,0.005311105718072694,0.022457856516138668,43221.0,0.15119964831910415,0.07727724948520395,0.12343536706693505,0.10034473982554776,0.1224867541241526,0.161194789569885,0.09414405034589668,0.10712385183128573,0.034520256356863566,0.02827329307512552,87976.0,0.6394243884695826,56214.0,0.09333973743195643,73312.0,0.6839262330859887,0.1959706460061109,0.12010312090790047,19.0,1.0,0.0943117964418392,0.15364870162600108,0.04109806410663282,0.2890585621744731
Crown Heights South,41962.0,0.4700443258185978,0.5299556741814022,0.24238596825699446,0.11338830370335065,0.08183594680901768,0.9181640531909824,0.28154044135169914,0.6002812068061579,0.0035031695343405943,0.012725799532910729,0.0,0.007625947285639387,0.0124874886802345,14971.0,0.08182486139870418,0.07775031728007481,0.12156836550664618,0.10333311068064924,0.15556743036537304,0.18936610780842966,0.11876294168726205,0.10353349809631957,0.025515997595351014,0.022777369581190303,32922.0,0.6570985966830689,21621.0,0.12589611951343602,27183.0,0.6847294264797852,0.18868410403561048,0.12658646948460436,0.0,0.0,0.057146942471760165,0.10206853820122967,0.029765025499261237,0.1889805061722511
Cypress Hills-City Line,48899.0,0.4805619746825088,0.5194380253174912,0.2564265117896071,0.07587067220188552,0.6157590134767582,0.3842409865232418,0.031861592261600444,0.2455673940162376,0.0006953107425509724,0.0803288410805947,0.0,0.013190453792511094,0.01259739462974703,14159.0,0.14153541916802034,0.046048449749276084,0.11095416342962074,0.09979518327565506,0.1454905007415778,0.20425171269157427,0.10318525319584716,0.1014902182357511,0.029239353061656894,0.01800974645102055,38106.0,0.579436309242639,22080.0,0.07880434782608696,30142.0,0.8716408997412248,0.09030588547541636,0.03805321478335877,0.0,0.0,0.06300742346469253,0.092619480970981,0.017362318247816932,0.17298922268349046
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,42245.0,0.4812640549177418,0.5187359450822583,0.17663628831814415,0.08966741626227956,0.20572848857853,0.7942715114214699,0.4484317670730264,0.19476861167002013,0.00021304296366433896,0.11087702686708488,0.00044975736773582666,0.00755118948988046,0.031980115990058,17585.0,0.08615297128234291,0.04970145009951663,0.07989764003411999,0.04839351720216093,0.06391811202729597,0.1001421666192778,0.09183963605345463,0.16286607904464032,0.1046914984361672,0.2123969292010236,35416.0,0.7125592952337927,25220.0,0.08790642347343379,31717.0,0.4010782860926317,0.3191033199861273,0.27981839392124097,5.0,1.0,0.11319682802698545,0.2565037282518641,0.05330808379689904,0.4230086400757486
Dyker Heights,45877.0,0.4859297687294287,0.5140702312705713,0.21963075179283734,0.1478518647688384,0.11221309152734486,0.8877869084726552,0.4667916385116725,0.008021448656189376,0.0019181725047409375,0.4026200492621575,0.00015258190378621096,0.0015258190378621096,0.006757198596246485,14907.0,0.07151002884550882,0.053666062923458775,0.12792647749379485,0.08787817803716375,0.10867377742000403,0.18011672368685852,0.10914335547058428,0.14442879184275845,0.055879788019051455,0.060776816260817074,36996.0,0.6093631743972321,22535.0,0.08426891502107832,32157.0,0.7321889479740026,0.1684858662188637,0.09932518580713376,0.0,0.0,0.02125247945593653,0.03949691566580204,0.01299125923665453,0.0737406543583931
East Flatbush-Farragut,53535.0,0.4295320818156346,0.5704679181843654,0.2172784159895396,0.15462781357990102,0.06524703465022882,0.9347529653497711,0.016605958718595312,0.8838516858130195,0.00016811431773606052,0.016755393667694032,0.0,0.004258896049313533,0.01311291678341272,18556.0,0.07286053028669973,0.054699288639793064,0.0902672989868506,0.11090752317309767,0.1423259323129985,0.19476180211252425,0.14372709635697348,0.13424229359775813,0.032819573183875836,0.023388661349428755,43376.0,0.6267751752120989,27181.0,0.08171148964350097,37056.0,0.760146804835924,0.15579123488773747,0.08406196027633851,3.0,1.0,0.06558326328570094,0.09248155412347064,0.029980386662930788,0.1880452040721024
