ntaname,FELONY,MISDEMEANOR,VIOLATION,TOTAL_CRIME,Population,GardenCounts,FELONY_norm,MISDEMEANOR_norm,VIOLATION_norm,TOTAL_CRIME_norm
Flatbush,5684.0,9735.0,2637.0,18056.0,108653.0,2.0,0.05231332774980903,0.08959715792476967,0.02426992351798846,0.16618040919256716
Flatlands,3510.0,5549.0,1552.0,10611.0,72540.0,1.0,0.04838709677419355,0.0764957264957265,0.0213950923628343,0.14627791563275433
Flushing,3788.0,7159.0,1359.0,12306.0,70697.0,0.0,0.05358077429028106,0.10126313704966264,0.01922288074458605,0.17406679208452974
Fordham South,1887.0,4504.0,984.0,7375.0,28434.0,3.0,0.066364211859042,0.15840191320250405,0.03460645705845115,0.2593725821199972
Forest Hills,1865.0,3621.0,871.0,6357.0,86531.0,0.0,0.0215529694560331,0.04184627474546694,0.010065756780806878,0.07346500098230692
Fort Greene,3105.0,6725.0,1245.0,11075.0,30288.0,5.0,0.10251584786053883,0.2220351294241944,0.0411053882725832,0.36565636555731645
Fresh Meadows-Utopia,424.0,755.0,137.0,1316.0,18700.0,0.0,0.02267379679144385,0.04037433155080214,0.00732620320855615,0.07037433155080214
Ft. Totten-Bay Terrace-Clearview,361.0,460.0,230.0,1051.0,21945.0,0.0,0.01645021645021645,0.02096149464570517,0.010480747322852585,0.04789245841877421
Georgetown-Marine Park-Bergen Beach-Mill Basin,1778.0,3605.0,688.0,6071.0,47997.0,0.0,0.037043981915536386,0.07510886097047732,0.01433422922265975,0.12648707210867347
Glen Oaks-Floral Park-New Hyde Park,435.0,554.0,247.0,1236.0,23344.0,0.0,0.018634338588074024,0.023732008224811516,0.01058087731322824,0.05294722412611377
Glendale,1072.0,2243.0,684.0,3999.0,34029.0,0.0,0.03150254194951365,0.06591436715742455,0.020100502512562814,0.11751741161950101
Gramercy,2190.0,3513.0,600.0,6303.0,27886.0,0.0,0.07853403141361257,0.12597719285663056,0.02151617299003084,0.22602739726027396
Grasmere-Arrochar-Ft. Wadsworth,428.0,1037.0,404.0,1869.0,15896.0,0.0,0.02692501258178158,0.06523653749370911,0.025415198792148968,0.11757674886763966
Gravesend,1290.0,2217.0,553.0,4060.0,30288.0,0.0,0.042591125198098254,0.0731973058637084,0.018258055995773903,0.13404648705758057
Great Kills,641.0,1422.0,633.0,2696.0,43602.0,0.0,0.014701160497224898,0.032613182881519195,0.014517682675106646,0.06183202605385074
Greenpoint,1676.0,3028.0,706.0,5410.0,33351.0,0.0,0.05025336571617043,0.09079188030343918,0.021168780546310457,0.16221402656592007
Grymes Hill-Clifton-Fox Hills,720.0,1892.0,714.0,3326.0,21636.0,0.0,0.033277870216306155,0.08744684784618229,0.03300055463117027,0.1537252726936587
Hamilton Heights,3421.0,8315.0,2035.0,13771.0,52508.0,11.0,0.06515197684162413,0.15835682181762778,0.03875599908585359,0.2622647977451055
Hammels-Arverne-Edgemere,3685.0,5008.0,1842.0,10535.0,39003.0,2.0,0.09447991180165628,0.1284003794579904,0.04722713637412507,0.27010742763377177
Highbridge,1581.0,3922.0,621.0,6124.0,39144.0,10.0,0.04038933169834458,0.10019415491518496,0.015864500306560392,0.15644798692008993
Hollis,1090.0,1334.0,456.0,2880.0,21214.0,0.0,0.05138116338267182,0.06288300179126992,0.02149523899311775,0.13575940416705948
Homecrest,1588.0,2711.0,579.0,4878.0,44516.0,0.0,0.03567256716686135,0.06089945188246922,0.013006559439302722,0.1095785784886333
Hunters Point-Sunnyside-West Maspeth,3221.0,6187.0,1689.0,11097.0,66926.0,0.0,0.04812778292442399,0.09244538744284732,0.02523682873621612,0.16580999910348743
Hunts Point,3854.0,7581.0,1673.0,13108.0,26531.0,3.0,0.14526403075647357,0.28574120839772343,0.06305830914778938,0.49406354830198634
Jackson Heights,6014.0,11352.0,2112.0,19478.0,104125.0,0.0,0.05775750300120048,0.10902280912364946,0.02028331332533013,0.18706362545018007
Jamaica,5901.0,9612.0,1883.0,17396.0,55597.0,0.0,0.10613882043995179,0.1728870262783963,0.03386873392449233,0.3128945806428404
Jamaica Estates-Holliswood,1135.0,1425.0,337.0,2897.0,26757.0,0.0,0.04241880629368016,0.053257091602197555,0.012594834996449528,0.10827073289232725
Kensington-Ocean Parkway,1084.0,1784.0,638.0,3506.0,37676.0,1.0,0.028771631808047562,0.04735109884276462,0.016933857097356408,0.09305658774816859
Kew Gardens,726.0,1221.0,463.0,2410.0,23719.0,0.0,0.03060837303427632,0.05147771828491926,0.019520215860702392,0.10160630717989798
Kew Gardens Hills,842.0,1501.0,438.0,2781.0,38404.0,1.0,0.021924799500052078,0.039084470367670036,0.011405061972711177,0.07241433184043329
Kingsbridge Heights,1980.0,3787.0,683.0,6450.0,31294.0,1.0,0.06327091455231035,0.12101361283313095,0.021825270019812104,0.2061097974052534
Laurelton,1251.0,1439.0,499.0,3189.0,26924.0,0.0,0.04646412123012925,0.053446738968949636,0.01853365027484772,0.11844451047392661
Lenox Hill-Roosevelt Island,1745.0,2906.0,570.0,5221.0,82051.0,1.0,0.021267260606208333,0.03541699674592631,0.0069468988799648995,0.06363115623209954
Lincoln Square,2366.0,5422.0,1173.0,8961.0,59691.0,0.0,0.03963746628469954,0.0908344641570756,0.01965120369905011,0.15012313414082526
Lindenwood-Howard Beach,927.0,1211.0,440.0,2578.0,28247.0,0.0,0.03281764435161256,0.042871809395688035,0.015576875420398626,0.09126632916769922
Longwood,2423.0,5183.0,1493.0,9099.0,28961.0,3.0,0.08366423811332481,0.17896481475087186,0.05155208728980353,0.3141811401540002
Lower East Side,3740.0,8580.0,2332.0,14652.0,72789.0,26.0,0.051381390045199135,0.11787495363310391,0.03203780791053593,0.20129415158883898
Madison,1479.0,1971.0,501.0,3951.0,40122.0,0.0,0.03686256916404965,0.04912516823687752,0.012486914909525946,0.09847465231045312
Manhattanville,1845.0,4598.0,947.0,7390.0,23666.0,0.0,0.0779599425335925,0.19428716301867657,0.040015211696104114,0.31226231724837317
Marble Hill-Inwood,2191.0,3819.0,757.0,6767.0,52681.0,2.0,0.041589947039729694,0.07249292913953798,0.014369507032896111,0.1284523832121638
Mariner's Harbor-Arlington-Port Ivory-Graniteville,1716.0,4590.0,1470.0,7776.0,29956.0,0.0,0.05728401655761784,0.15322472960341835,0.04907197222593137,0.25958071838696756
Maspeth,1038.0,1816.0,602.0,3456.0,29111.0,1.0,0.03565662464360551,0.06238191748823469,0.0206794682422452,0.1187180103740854
Melrose South-Mott Haven North,4122.0,9650.0,1537.0,15309.0,43244.0,15.0,0.09531958190731663,0.2231523448339654,0.03554250300619739,0.35401442974747943
Middle Village,925.0,1961.0,602.0,3488.0,38033.0,1.0,0.024320984408277024,0.05156048694554729,0.015828359582467855,0.09170983093629216
Midtown-Midtown South,14331.0,23116.0,2710.0,40157.0,27811.0,0.0,0.5152997015569379,0.8311819064398979,0.09744345762468089,1.4439250656215166
Midwood,1479.0,2404.0,637.0,4520.0,53377.0,0.0,0.027708563613541414,0.04503812503512749,0.011933979054649007,0.0846806677033179
Morningside Heights,2397.0,4529.0,1055.0,7981.0,53707.0,3.0,0.044631053680153424,0.08432792745824566,0.01964362187424358,0.14860260301264266
Morrisania-Melrose,2912.0,6580.0,1465.0,10957.0,39939.0,13.0,0.07291118956408522,0.16475124564961566,0.03668093843110744,0.2743433736448083
Mott Haven-Port Morris,4590.0,11542.0,1758.0,17890.0,55080.0,8.0,0.08333333333333333,0.20954974582425562,0.031917211328976035,0.324800290486565
Mount Hope,3174.0,7253.0,1623.0,12050.0,52973.0,4.0,0.05991731636871614,0.13691880769448586,0.030638249674362412,0.2274743737375644
Murray Hill,1217.0,1697.0,517.0,3431.0,52659.0,0.0,0.023110959190261873,0.03222621014451471,0.00981788488197649,0.06515505421675308
Murray Hill-Kips Bay,2295.0,3276.0,714.0,6285.0,47774.0,0.0,0.04803868212835433,0.06857286390086657,0.014945367773265793,0.1315569138024867
New Brighton-Silver Lake,668.0,1789.0,567.0,3024.0,18083.0,0.0,0.03694077310180833,0.09893269922026213,0.031355416689708565,0.16722888901177901
New Dorp-Midland Beach,711.0,1989.0,627.0,3327.0,21358.0,0.0,0.03328963386084839,0.09312669725629741,0.029356681337203858,0.15577301245434966
New Springville-Bloomfield-Travis,1007.0,2676.0,863.0,4546.0,40907.0,0.0,0.024616813748258245,0.06541667685237246,0.021096633827951208,0.1111301244285819
North Corona,3141.0,5220.0,939.0,9300.0,54677.0,3.0,0.057446458291420525,0.09546975876511148,0.017173583042229823,0.17008980009876182
North Riverdale-Fieldston-Riverdale,585.0,1121.0,273.0,1979.0,27145.0,0.0,0.021550930189721863,0.04129673973107386,0.010057100755203536,0.07290477067599926
North Side-South Side,4103.0,6359.0,1286.0,11748.0,54330.0,7.0,0.07551997055034051,0.11704399042886067,0.023670163813730903,0.21623412479293208
Norwood,2597.0,4905.0,1036.0,8538.0,42666.0,1.0,0.060868138564665074,0.11496273379271552,0.024281629400459383,0.20011250175783996
Oakland Gardens,554.0,753.0,349.0,1656.0,28669.0,0.0,0.019324008510935155,0.02626530398688479,0.012173427744253375,0.05776274024207332
Oakwood-Oakwood Beach,340.0,703.0,315.0,1358.0,20618.0,0.0,0.016490445242021534,0.03409642060335629,0.015277912503637598,0.06586477834901543
Ocean Hill,3576.0,5891.0,1574.0,11041.0,34025.0,11.0,0.1050991917707568,0.17313739897134459,0.04626010286554005,0.32449669360764144
Ocean Parkway South,491.0,888.0,283.0,1662.0,21253.0,0.0,0.02310262080647438,0.041782336611301936,0.013315767185809062,0.07820072460358538
Old Astoria,1251.0,2285.0,908.0,4444.0,28110.0,1.0,0.044503735325506937,0.08128779793667734,0.03230167200284596,0.15809320526503023
